File,Only Ever Edited By,What This Means
action.yml,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
bin/aidebt-scan.js,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
docs/USAGE.md,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
scripts/score.js,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
scripts/git-mine.js,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
scripts/test-config-integration.js,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
CONTRIBUTING.md,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
skills/ai-debt-audit/SKILL.md,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
.claude-plugin/plugin.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
package.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
docs/WHAT_IT_CATCHES.md,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
CALIBRATION_50_REPOS.md,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/caddyserver_caddy.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/calcom_cal.com.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/encode_django-rest-framework.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/forem_forem.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/gin-gonic_gin.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/gofiber_fiber.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/gothinkster_realworld.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/miguelgrinberg_flasky.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/pallets_flask.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/shadcn-ui_taxonomy.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/spring-projects_spring-petclinic.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
calibration-pilot-results/wagtail_wagtail.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
docs/TOOLS.md,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
.aidebtrc.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
.github/workflows/self-scan.yml,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
.gitattributes,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
.github/workflows/ci.yml,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
rules/09-java-spring-smells.yml,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
rules/README.md,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
scripts/score.test.js,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
scripts/test-rules.js,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
test-fixtures/java/src/main/java/com/example/InsecureClient.java,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
test-fixtures/java/src/main/java/com/example/SecurityConfig.java,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
test-fixtures/java/src/main/java/com/example/UserService.java,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
rules/08-go-smells.yml,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
test-fixtures/go/main.go,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
Dockerfile,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
CALIBRATION.md,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
assets/logo.svg,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
marketing/launch-drafts.md,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
marketing/release-notes-v1.4.0.md,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
LICENSE,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
rules/07-rails-smells.yml,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
test-fixtures/rails/app/controllers/users_controller.rb,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
test-fixtures/rails/config/initializers/cors.rb,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
test-fixtures/rails/config/secrets.yml,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
.dockerignore,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
.gitignore,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
.github/workflows/ai-debt-check.yml,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
rules/01-security-smells.yml,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
assets/demo-terminal.png,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
assets/demo-terminal.svg,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
assets/sample-report.png,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
docs/index.html,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
examples/sample-report.md,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
ai-debt-audit,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
ai-debt-report.html,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
ai-debt-report.md,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
test-fixtures/flask/requirements.txt,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
rules/06-django-flask-smells.yml,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
test-fixtures/django/myproject/settings.py,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
test-fixtures/django/views.py,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
test-fixtures/flask/app.py,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
scripts/colors.js,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
node_modules/.package-lock.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
package-lock.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
test-fixtures/bad.py,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
node_modules/.bin/jscpd,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
node_modules/cpd-linux-x64-gnu/LICENSE,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
node_modules/cpd-linux-x64-gnu/README.md,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
node_modules/cpd-linux-x64-gnu/cpd-bin/cpd,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
node_modules/cpd-linux-x64-gnu/package.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
node_modules/jscpd/README.md,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
node_modules/jscpd/package.json,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
node_modules/jscpd/platform-map.js,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
node_modules/jscpd/run-jscpd.js,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
test-fixtures/dup1.js,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
test-fixtures/dup2.js,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
test-fixtures/bad.ts,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
test-fixtures/supabase/schema.sql,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
test-fixtures/webhooks/route.ts,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
rules/05-supabase-smells.yml,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
rules/03-placeholder-and-stub-smells.yml,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
rules/04-react-node-smells.yml,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
rules/02-error-handling-smells.yml,Solo Builder,"If this person leaves, nobody else has touched this file — it's a single point of failure."
